model,rank,sample_index,scenario_id,track_id,object_type,ADE,FDE,minADE,minFDE,miss,min_miss
linear,1,1996,15f0a8de-c6db-4161-b4a4-4a68912a0fa3,22081,0,26.13912582397461,50.07394790649414,26.13912582397461,50.07394790649414,1,1
linear,2,18766,caaa0bdd-bf2f-4618-b465-e932f322dca7,5593,0,20.66379737854004,37.97563171386719,20.66379737854004,37.97563171386719,1,1
linear,3,4532,3200056a-a13d-4e10-81e2-34f2dc9a6afd,8948,0,16.60999298095703,34.07875061035156,16.60999298095703,34.07875061035156,1,1
linear,4,18028,c28eccae-0b64-41bf-9feb-988cd7e93137,108448,0,13.03761100769043,23.864282608032227,13.03761100769043,23.864282608032227,1,1
linear,5,11609,7e50d2d1-9964-4aed-9fe6-56c5486b9a17,185491,0,10.09443187713623,23.789291381835938,10.09443187713623,23.789291381835938,1,1
linear,6,14366,9c03f9de-5261-4994-93f3-a21d09272617,13044,0,12.056265830993652,23.696258544921875,12.056265830993652,23.696258544921875,1,1
linear,7,1111,0c539564-9cf2-4a1e-9c8c-7cc2809ef640,71790,0,10.344483375549316,22.985759735107422,10.344483375549316,22.985759735107422,1,1
linear,8,2997,20c3401d-04df-44f1-948e-2596f517e550,33852,0,9.827872276306152,22.226276397705078,9.827872276306152,22.226276397705078,1,1
linear,9,697,07cf3d5c-54a9-457b-9b82-2f48294243e1,27067,0,11.703235626220703,22.17385482788086,11.703235626220703,22.17385482788086,1,1
linear,10,13951,979721a6-b3c5-4063-8040-05d1a1df9098,150576,0,9.209898948669434,21.584978103637695,9.209898948669434,21.584978103637695,1,1
linear,11,5833,3f74846b-db1d-4d3b-8850-cee8518d6d27,80708,0,9.738619804382324,21.083940505981445,9.738619804382324,21.083940505981445,1,1
linear,12,14519,9dce8907-4abd-4cea-b0db-2bd529089a7a,54317,0,8.565720558166504,20.893396377563477,8.565720558166504,20.893396377563477,1,1
linear,13,19622,d47acd25-951f-4505-944e-3d40d2dba08d,45638,0,10.275897026062012,20.826169967651367,10.275897026062012,20.826169967651367,1,1
linear,14,2485,1b470452-d193-4daf-a5a2-9ebfe0f6ad39,78335,0,9.150069236755371,20.65142250061035,9.150069236755371,20.65142250061035,1,1
linear,15,1359,0f12d0c4-7d53-49d7-a6c8-d409e09f0063,4598,0,9.750082015991211,20.60443687438965,9.750082015991211,20.60443687438965,1,1
linear,16,439,05340841-b54a-4f51-8f5c-cbfe98fca3cb,56219,0,8.102018356323242,20.504335403442383,8.102018356323242,20.504335403442383,1,1
linear,17,4553,32320a99-2376-4396-9e86-628a663ced82,91931,0,8.599803924560547,20.462459564208984,8.599803924560547,20.462459564208984,1,1
linear,18,4271,2eeb2fc4-ac67-4a18-ae0c-96a9f6fa3fbe,19008,0,9.331069946289062,20.341747283935547,9.331069946289062,20.341747283935547,1,1
linear,19,19419,d208fbe1-64ce-4ae2-81b0-d85b729258a3,177822,0,8.65014362335205,20.210933685302734,8.65014362335205,20.210933685302734,1,1
linear,20,22252,f03155f5-2ac1-486a-bc54-f9d3e3800d3a,8865,0,8.259471893310547,20.172990798950195,8.259471893310547,20.172990798950195,1,1
diffusion_direct,1,13244,90054c7f-24bb-47ff-b5e0-400b5de45bd2,28065,0,26.698640823364258,80.9723892211914,0.5571283102035522,1.1330337524414062,1,0
diffusion_direct,2,2092,1705958a-b3d0-4a1b-bbb4-0b2eb3424f80,157074,0,24.09069061279297,76.19775390625,0.7561906576156616,2.36625599861145,1,1
diffusion_direct,3,18760,caa02246-5954-45a4-a415-1912b06f2bd9,30168,0,28.98195457458496,74.27637481689453,2.8716204166412354,4.2686333656311035,1,1
diffusion_direct,4,8228,58a8ed77-5409-434e-ad38-b096b8b3d3aa,15421,0,23.906892776489258,73.50792694091797,0.17665475606918335,0.264233261346817,1,0
diffusion_direct,5,21290,e6041e8d-b0f8-4aa6-9aff-c8f1ba83fd65,15198,0,21.455814361572266,64.90379333496094,1.0116678476333618,1.0366222858428955,1,0
diffusion_direct,6,19492,d2d655cf-0d99-45d7-8266-f913d6661598,53947,0,20.5765380859375,64.668701171875,0.23934276401996613,0.5583667159080505,1,0
diffusion_direct,7,11323,7b52b6b7-d92f-430f-b4bc-5c8ab9ab23ff,78387,0,19.78315544128418,64.13269805908203,0.2215575873851776,0.06599316000938416,1,0
diffusion_direct,8,10648,73cb0fd6-1308-4c27-86c2-e4c8d157ae44,2198,0,18.771183013916016,64.05735778808594,0.4621194899082184,0.8118122220039368,1,0
diffusion_direct,9,23526,fdebecc9-edb6-4354-b2c3-77f0f2ebdc17,18095,0,19.664602279663086,62.67772674560547,1.4816033840179443,2.622126340866089,1,1
diffusion_direct,10,17714,bf0dc9e1-8605-4bb9-b694-cd5d9c5ccb02,51771,0,20.60480308532715,62.64249801635742,0.4213583171367645,0.8204322457313538,1,0
diffusion_direct,11,12693,8a093c7d-47fa-49b5-b92d-67b53c7eebb0,8541,0,19.43424415588379,62.21551513671875,0.4559062719345093,0.6632840633392334,1,0
diffusion_direct,12,10078,6d4efc6e-22ea-4ae6-9a01-9612fce9da4e,215733,0,18.65311050415039,61.68302536010742,0.18627707660198212,0.11785648763179779,1,0
diffusion_direct,13,10231,6f179a96-2541-4d42-aa27-bb5fb0da83f7,147975,0,20.90190887451172,60.65830612182617,0.505341649055481,0.7918493151664734,1,0
diffusion_direct,14,22238,f0049acc-be7e-449b-b3b6-4369f4ed563b,43396,0,17.229360580444336,54.60218048095703,0.2234630286693573,1.2299859523773193,1,0
diffusion_direct,15,5742,3e990c81-7bd4-4200-b1b2-9411379e2bcd,12943,0,22.5797061920166,53.71366500854492,0.4280819594860077,0.357096403837204,1,0
diffusion_direct,16,19353,d16924a5-a9bb-4200-a572-5a040d7a30ff,75726,0,15.969948768615723,53.708980560302734,0.5041127800941467,0.3210696876049042,1,0
diffusion_direct,17,15465,a79ec0d0-0d20-4e10-928a-6b93cab63219,140785,0,16.57793617248535,53.3817024230957,0.3713098168373108,0.5610483288764954,1,0
diffusion_direct,18,14532,9df001a7-0ebc-4d7c-9a1a-b7424ebc7419,10272,0,21.17551612854004,53.28334426879883,0.20661340653896332,0.20478372275829315,1,0
diffusion_direct,19,19912,d78460fc-7e21-4db7-9620-620679ed0392,27393,0,22.148021697998047,51.078704833984375,1.71636962890625,3.4813661575317383,1,1
diffusion_direct,20,11892,810590d8-2ac1-41e5-9813-bf932913c4ab,60199,0,21.489591598510742,49.410430908203125,0.7166454195976257,1.5854933261871338,1,0
diffusion_pca,1,21395,e7051ee5-b55f-450f-88a1-a7b2366f94b8,35884,0,41.66581344604492,115.60926818847656,0.5049483180046082,1.0011088848114014,1,0
diffusion_pca,2,3235,23570e89-d29a-4aa7-8866-3461576ed463,17856,0,39.78728485107422,111.0777816772461,0.9816362857818604,2.6320958137512207,1,1
diffusion_pca,3,23519,fde30257-89e4-490e-8129-86d1bf229d20,135230,0,41.525516510009766,84.37046813964844,10.150860786437988,27.996482849121094,1,1
diffusion_pca,4,3530,26b19e38-d168-4d1b-8405-f6e152a32718,112148,0,32.42011642456055,70.66233825683594,0.6885516047477722,1.3246490955352783,1,0
diffusion_pca,5,1028,0b60ca65-454f-468d-b0e6-b3fbd6154e44,50117,0,30.560619354248047,64.68234252929688,0.5745741724967957,0.38142719864845276,1,0
diffusion_pca,6,12592,88ee854e-faa4-4575-a947-7e408c648342,301,0,35.17291259765625,63.43527603149414,0.1570604145526886,0.61057049036026,1,0
diffusion_pca,7,4393,306cc1d8-4271-4b62-940c-747db108f47f,4231,0,21.707366943359375,62.17256164550781,0.32289332151412964,0.6042646169662476,1,0
diffusion_pca,8,15138,a4909dee-7a5e-44c1-bc30-894783e7fb51,51785,0,25.147647857666016,60.43206787109375,0.5338678359985352,1.2342119216918945,1,0
diffusion_pca,9,17040,b804a1d7-24f9-4232-a3fa-38fa1fbafe7f,52149,0,10.438608169555664,56.67731857299805,0.1233081966638565,0.25218766927719116,1,0
diffusion_pca,10,23001,f83dc0c2-1133-498f-96ed-c397332ac73f,29984,0,23.563936233520508,54.63145065307617,0.7891952395439148,1.8428713083267212,1,0
diffusion_pca,11,1218,0d5be181-a863-461b-9ce5-13e571f6036f,53344,0,24.456295013427734,54.24724197387695,1.3516182899475098,1.9967284202575684,1,0
diffusion_pca,12,10488,721b3908-48f9-4192-8506-d3a9159dfe08,26759,0,25.00046157836914,51.62997055053711,1.399072289466858,1.8705288171768188,1,0
diffusion_pca,13,8575,5c7f8c2a-c5e6-4ae4-a90b-186684be77d0,651,0,27.230693817138672,50.80279541015625,0.6852144598960876,1.5489205121994019,1,0
diffusion_pca,14,9347,652702b8-b030-4f0b-bdb9-13fa2c9f3bfb,46478,0,18.09408187866211,49.38810348510742,0.11910776048898697,0.24381285905838013,1,0
diffusion_pca,15,1642,1228caa7-4a78-417b-9eb2-be75721dba20,3483,0,34.81954574584961,47.57205581665039,1.0931036472320557,1.3854784965515137,1,0
diffusion_pca,16,20497,ddb7c53e-d4b8-42ce-b5a8-7c3f17dce674,26957,0,14.082691192626953,45.9715576171875,0.4557839035987854,0.7711924910545349,1,0
diffusion_pca,17,13803,960d19ab-5456-4c52-9c88-23a7264771f6,25532,0,19.071088790893555,45.11305618286133,0.5539228320121765,0.40361401438713074,1,0
diffusion_pca,18,9380,657acf51-bdc8-4cd0-90d7-990aa36bc920,69612,0,27.436643600463867,44.040245056152344,1.8289333581924438,0.7101169228553772,1,0
diffusion_pca,19,18708,ca12c15b-c6ad-4409-916a-da90530f39c9,7734,0,23.941347122192383,43.97273635864258,0.5830077528953552,0.5503262281417847,1,0
diffusion_pca,20,17640,be54451b-46c5-4859-a2f0-672e8a89cfb6,8116,0,8.944957733154297,43.66545867919922,0.6272843480110168,0.9398809671401978,1,0
lstm,1,14450,9d10a795-c3dc-4312-85df-b6c24fd22d0b,145056,0,7.127760410308838,19.139638900756836,7.127760410308838,19.139638900756836,1,1
lstm,2,738,083484b9-40ed-44e3-9353-f5b1cb2cf186,96760,0,7.494338512420654,18.439701080322266,7.494338512420654,18.439701080322266,1,1
lstm,3,14867,a1868c26-4ffd-4846-89d6-5389097df4d1,121048,0,6.646762371063232,17.96390151977539,6.646762371063232,17.96390151977539,1,1
lstm,4,20905,e1fc0665-abb0-4b93-847f-6f7ee7b674f3,3964,0,7.744594097137451,17.61036491394043,7.744594097137451,17.61036491394043,1,1
lstm,5,14100,9927d396-bdd1-44e6-819b-ebe7991ba0a2,94842,0,6.531438827514648,17.172908782958984,6.531438827514648,17.172908782958984,1,1
lstm,6,97,0134aa84-8bf4-4b83-8c84-c3598e69b663,56735,0,6.573302268981934,17.137964248657227,6.573302268981934,17.137964248657227,1,1
lstm,7,5589,3cef7b02-8d6f-4aa9-afbe-7a6ff6e626e1,58654,0,5.591206073760986,15.936978340148926,5.591206073760986,15.936978340148926,1,1
lstm,8,2699,1da94c0a-6dcb-486b-982b-74a534d1a353,72567,0,6.224411487579346,15.833832740783691,6.224411487579346,15.833832740783691,1,1
lstm,9,19027,cd889406-edbb-4536-85be-f8bc1aadfda0,63292,0,5.276552200317383,15.8280029296875,5.276552200317383,15.8280029296875,1,1
lstm,10,11020,77f9c78a-76b5-4571-ada6-c2307f8f5623,18415,0,6.152091026306152,15.637540817260742,6.152091026306152,15.637540817260742,1,1
lstm,11,9788,69f2fa9a-a421-457f-a745-28de3411b411,3457,0,5.373483657836914,15.534993171691895,5.373483657836914,15.534993171691895,1,1
lstm,12,4271,2eeb2fc4-ac67-4a18-ae0c-96a9f6fa3fbe,19008,0,6.731600761413574,14.872640609741211,6.731600761413574,14.872640609741211,1,1
lstm,13,6632,47b7784c-3c4c-4324-a57b-5cfef5dc8ec3,89436,0,5.9861273765563965,14.815107345581055,5.9861273765563965,14.815107345581055,1,1
lstm,14,21149,e49ac302-d6ac-456e-8a75-cee6446c3790,36650,0,4.837093830108643,14.669953346252441,4.837093830108643,14.669953346252441,1,1
lstm,15,14044,988eb544-e05a-4f4c-a966-10e1b89f8b03,67170,0,5.2241315841674805,14.41516399383545,5.2241315841674805,14.41516399383545,1,1
lstm,16,23519,fde30257-89e4-490e-8129-86d1bf229d20,135230,0,5.083941459655762,13.974244117736816,5.083941459655762,13.974244117736816,1,1
lstm,17,20322,dbf29e33-63d7-4c04-88c1-161a4d828f3c,34795,0,7.375407695770264,13.924537658691406,7.375407695770264,13.924537658691406,1,1
lstm,18,5460,3bba8957-b9dc-4d5f-93ef-f3f0cff84d97,57308,0,4.448214054107666,13.886773109436035,4.448214054107666,13.886773109436035,1,1
lstm,19,5644,3d944778-8f17-4f7e-a070-41397d2356e5,139763,0,6.022114276885986,13.815312385559082,6.022114276885986,13.815312385559082,1,1
lstm,20,22716,f5204db1-9b12-4595-958d-36977ebe03c1,162607,0,5.321264266967773,13.809067726135254,5.321264266967773,13.809067726135254,1,1
transformer,1,4532,3200056a-a13d-4e10-81e2-34f2dc9a6afd,8948,0,12.328986167907715,26.418638229370117,12.328986167907715,26.418638229370117,1,1
transformer,2,10118,6decec7f-5bb7-49d3-84ed-089be8100761,163269,0,8.854917526245117,20.879350662231445,8.854917526245117,20.879350662231445,1,1
transformer,3,14867,a1868c26-4ffd-4846-89d6-5389097df4d1,121048,0,7.041275501251221,18.93935203552246,7.041275501251221,18.93935203552246,1,1
transformer,4,97,0134aa84-8bf4-4b83-8c84-c3598e69b663,56735,0,7.001815319061279,18.73216438293457,7.001815319061279,18.73216438293457,1,1
transformer,5,14450,9d10a795-c3dc-4312-85df-b6c24fd22d0b,145056,0,6.567675590515137,17.717214584350586,6.567675590515137,17.717214584350586,1,1
transformer,6,738,083484b9-40ed-44e3-9353-f5b1cb2cf186,96760,0,7.246096134185791,17.612390518188477,7.246096134185791,17.612390518188477,1,1
transformer,7,5589,3cef7b02-8d6f-4aa9-afbe-7a6ff6e626e1,58654,0,6.180613040924072,17.492351531982422,6.180613040924072,17.492351531982422,1,1
transformer,8,7533,518fd970-ee38-4bd7-a552-6c48558365cd,62225,0,7.9591217041015625,16.839998245239258,7.9591217041015625,16.839998245239258,1,1
transformer,9,20905,e1fc0665-abb0-4b93-847f-6f7ee7b674f3,3964,0,7.852464199066162,16.352102279663086,7.852464199066162,16.352102279663086,1,1
transformer,10,15261,a5ad21d5-38a2-4670-beba-9adbacc35a6e,21456,0,5.927705764770508,16.044971466064453,5.927705764770508,16.044971466064453,1,1
transformer,11,2997,20c3401d-04df-44f1-948e-2596f517e550,33852,0,7.218549728393555,15.827802658081055,7.218549728393555,15.827802658081055,1,1
transformer,12,21149,e49ac302-d6ac-456e-8a75-cee6446c3790,36650,0,5.325010776519775,15.757899284362793,5.325010776519775,15.757899284362793,1,1
transformer,13,11020,77f9c78a-76b5-4571-ada6-c2307f8f5623,18415,0,6.286814212799072,15.359716415405273,6.286814212799072,15.359716415405273,1,1
transformer,14,20111,d995f389-b520-4d49-b3be-3046bf500594,233984,0,5.779229164123535,15.350912094116211,5.779229164123535,15.350912094116211,1,1
transformer,15,7104,4c7c0daa-fd8f-45d6-8a1e-b7380a06340b,132109,0,5.233242511749268,15.093761444091797,5.233242511749268,15.093761444091797,1,1
transformer,16,20343,dc371db8-2a16-455d-88df-2b7263193a06,165264,0,5.521699905395508,15.0154390335083,5.521699905395508,15.0154390335083,1,1
transformer,17,4271,2eeb2fc4-ac67-4a18-ae0c-96a9f6fa3fbe,19008,0,6.9575653076171875,14.801321983337402,6.9575653076171875,14.801321983337402,1,1
transformer,18,5644,3d944778-8f17-4f7e-a070-41397d2356e5,139763,0,6.384047985076904,14.695894241333008,6.384047985076904,14.695894241333008,1,1
transformer,19,20986,e2ed2301-8ca9-4ccb-bd94-688961639c07,36080,0,6.011379718780518,14.57197093963623,6.011379718780518,14.57197093963623,1,1
transformer,20,10271,6fa1d2f7-a43a-4fe7-b644-2dda579671a5,9857,0,6.154457092285156,14.51927375793457,6.154457092285156,14.51927375793457,1,1
